nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
285.4235206246376,118.69610583782196,296.9312983751297,107.4502711892128,277.62095242738724,112.02272152900696,312.7624568939209,101.0631365776062,263.84318244457245,102.28161925077438,346.74067974090576,124.56774520874023,240.9347653388977,110.98587852716446,372.0269527435303,158.36128628253937,204.18097710609433,153.6510347723961,332.39815664291376,154.73179686069489,255.5192060470581,152.6468591094017,337.77109277248377,193.10597777366638,269.2589296102524,192.8339010477066,342.50518751144403,225.8638745546341,264.1044707894325,218.96680510044098,345.23296570777893,255.73213720321655,292.22512650489807,242.55560541152954
274.50271743535995,46.65385544300079,277.73825466632843,42.86281228065491,269.1118510365486,43.30628928542137,296.7104740142822,29.511198461055756,250.53950691223145,36.46028584241867,347.08552515506744,93.8972641825676,240.13690865039825,63.19584336876869,370.696023106575,79.0229021012783,206.86380371451378,73.11030012369156,336.26819372177124,135.41373485326767,269.156042098999,130.5184187889099,335.3313069343567,120.26279836893082,283.94662046432495,122.17375206947327,338.1944284439087,173.6010481119156,267.94009786844254,158.6955145597458,334.82345724105835,251.99361562728882,304.53841656446457,246.99123167991638
294.7482679486275,66.8175008893013,303.80739545822144,51.8271863758564,280.43126022815704,51.60107862949371,329.6249886751175,51.390861332416534,266.10477364063263,49.93833827972412,355.8337035179138,70.44894450902939,261.63716500997543,68.41350135207176,374.41337084770197,113.62382405996323,238.85922586917877,108.88713043928146,345.21300065517426,168.53337985277176,264.42310577630997,168.94329804182053,347.1303709745407,162.36217403411865,284.0257856249809,165.58282309770584,342.61399805545807,248.5535625219345,299.38336342573166,247.4596347808838,345.4984142780304,305.45589649677277,319.6777688860893,308.38437283039093
225.52069711685178,199.45617401599884,221.379983484745,188.1875638961792,218.62562215328214,193.3729373216629,251.45002210140228,169.73761904239655,222.2476926743984,171.83624625205994,317.20036977529526,164.74760496616364,248.78571504354477,148.98074358701706,416.29610252380365,186.90091598033905,271.7302948832512,165.2998572587967,415.25517988204956,191.28089797496796,302.9375658631324,174.52187824249268,414.22642564773554,161.88325452804565,366.0793011188507,161.95636570453644,387.28933894634247,160.64009255170822,336.01418828964233,147.98419332504272,410.63146710395813,174.56489074230194,365.99867534637445,165.81710523366928
227.27525454759598,200.80763280391693,223.9258449971676,193.11933481693268,220.5604493021965,194.36969912052155,243.0291114449501,170.56678318977356,231.23095902800557,173.50740778446198,316.07466113567347,165.28938114643097,252.25032657384872,155.6811643242836,391.76844108104706,188.12285375595093,299.7516390681267,160.7248483300209,409.61558640003204,191.68430888652802,328.9123309850692,166.872220993042,408.87548935413355,174.9729756116867,371.239108800888,165.07296884059906,365.82035982608795,189.0591562986374,316.2569857835769,173.73367166519165,364.4481905698776,178.6249886751175,338.204118847847,176.0473210811615
223.78865829110143,178.72267842292786,219.3138825893402,177.0244401693344,217.70045047998426,179.04667234420776,226.29724398255348,161.92289251089096,218.27732163667676,175.11659908294678,286.4969796538353,157.1268476843834,236.14086610078812,158.17253494262695,358.04903864860535,153.48861473798752,291.5389814376831,152.63346177339554,367.5025817155838,170.46091401576996,321.8910390138626,156.58323818445206,371.9509001970291,175.47355246543884,342.4072761535644,177.62143754959106,347.2813478708267,162.36450093984604,309.38479709625244,154.21636205911636,377.09767317771906,175.66963708400726,355.5821962356567,175.12604773044586
315.9111028313637,254.66466164588928,318.9429904818535,259.270565032959,279.1530435681343,164.3521619439125,349.1081804037094,138.10598492622375,209.10530897974965,156.77972573041916,375.83790051937103,135.15978986024857,232.12926048040387,122.70691567659378,398.92854154109955,180.87481439113617,206.4895496368408,159.05957961082458,379.8625005483627,198.79077970981598,213.67189672589302,193.454207777977,341.4843306541443,166.03865486383438,256.4721293449402,158.83305382728577,338.6771354675293,251.0200423002243,202.88453301787376,267.935115814209,319.7313884496689,195.17333781719208,247.64824092388153,194.73878061771393
396.13033163547516,245.8284637928009,404.0601443052292,239.00456595420837,358.5812855958938,226.74086618423462,416.62678503990173,249.6239995956421,315.4722846746444,158.27717518806458,403.7342969179153,153.10278153419495,304.23878967761993,153.23719811439514,414.65634918212885,202.1763368844986,235.65228641033173,181.4369786977768,395.9664006233215,227.89150595664978,250.0317478775978,237.8214703798294,345.43890190124506,155.1133691072464,268.54832684993744,145.67394864559174,347.4361525774002,258.86280250549316,205.20279091596603,267.80652153491974,316.5917983055115,236.23143827915192,246.52183723449707,228.51966977119446
328.58819603919983,98.02316015958786,338.68567752838135,63.18517082929611,318.4787073135376,81.12968355417252,338.6327328681946,61.2500616312027,335.5587594509125,62.83571693301201,337.3410886526108,84.69076597690582,324.2546111345291,81.90114346146584,320.28889894485474,147.55694925785065,292.7808741927147,145.28170889616013,307.73239183425903,195.5047254562378,266.4240734577179,196.34631991386414,366.1973991394043,168.0947027206421,345.0815657377243,168.80456006526947,422.5387977361679,260.73117685317993,336.871577501297,227.899080991745,360.07572317123413,262.6386150121689,326.5861908197403,251.44710505008698
378.0157432556152,134.0711908340454,382.49214577674866,130.5566565990448,374.117823600769,128.63812786340714,385.9897167682647,125.43950885534286,363.87448239326477,124.42625725269318,387.31929659843445,145.6892699599266,348.6782568693161,143.6482915878296,378.6879671812057,199.11026084423065,328.4399791955948,181.22840332984924,373.0868734121322,208.53263747692108,348.0008553266525,215.43998157978058,366.2034430503845,203.523423910141,339.49892604351044,197.03730010986328,382.2505102157592,250.91449546813965,348.68313229084015,261.08839213848114,371.35777091979975,297.40899312496185,341.5314530134201,302.1834007501602
